=== A. 步长细扫 (延迟 6ms, 无泄漏) ===
    step   NR(1.5s尾)    drive   |w|max   t20(s)
  0.0010       93.70   0.0760   0.0782     0.10
  0.0020       93.68   0.0760   0.0782     0.10
  0.0030       93.67   0.0760   0.0782     0.10
  0.0040       93.64   0.0760   0.0782     0.10
  0.0050       93.61   0.0760   0.0782     0.10
  0.0060       93.57   0.0760   0.0782     0.10
  0.0080      -27.06   0.7269   0.6409    -1.00 发散
  0.0100      -27.72   0.7865   0.6813    -1.00 发散

=== B. 各延迟下的安全步长 (取 0.5 * 临界) ===
    延迟(ms)     D     step       NR   t20(s)    drive
       1.0    48   0.0070   113.00     0.20
       2.0    96   0.0050   110.43     0.10
       4.0   192   0.0050   101.00     0.10
       6.0   288   0.0070    93.56     0.30
      10.0   480   0.0040    55.52     1.00
      20.0   960   0.0020    18.14    -1.00

=== C. 加泄漏是否允许更大步长 (延迟 6ms) ===
    step      leak       NR    drive   t20(s)
  0.0050     0e+00    93.61   0.0760     0.10
  0.0050     1e-05    48.00   0.0757     0.10
  0.0050     1e-04    28.37   0.0731     0.10
  0.0100     0e+00   -27.72   0.7865    -1.00 发散
  0.0100     1e-05   -27.73   0.7870    -1.00 发散
  0.0100     1e-04   -27.78   0.7912    -1.00 发散
  0.0200     0e+00   -28.83   0.8768    -1.00 发散
  0.0200     1e-05   -28.83   0.8769    -1.00 发散
  0.0200     1e-04   -28.84   0.8778    -1.00 发散
  0.0400     0e+00   -29.43   0.9157    -1.00 发散
  0.0400     1e-05   -29.44   0.9157    -1.00 发散
  0.0400     1e-04   -29.44   0.9160    -1.00 发散
